annotation_id,image_id,category_id,pred_Interdepth,pred_Intradepth
1,1,28,0.11771539378948916,1.307688142172947
2,1,28,0.17872272461219874,1.120175226095093
3,1,28,0.12299634987638045,1.203364690727369
4,1,28,0.1043582157013607,1.1073848538008009
5,1,22,0.9143374158238875,1.921290950082452
6,1,22,0.8783232303807377,1.8978125121702696
7,1,1,0.9021698638212181,1.9092319673142752
8,1,1,0.8667997051676734,1.8811254755514537
9,1,1,0.8516737646529347,1.869300324221932
10,1,16,0.1032814166248361,1.0998120687317008
11,1,16,0.10669106881797,1.2050853724376234
12,1,16,0.16683735320755044,1.1981699736251454
13,1,16,0.6341674124591945,1.717380592312862
14,1,16,0.7417949184631536,1.801864481528484
15,1,16,0.87532052031429,1.8958224253382747
16,1,16,0.6208136434497139,1.7062772694169968
17,1,1,0.2680558388295144,1.2320897546561485
18,1,22,0.8508112880209655,1.8793862159578336
19,1,22,0.86363056110154,1.8880260086539629
20,1,22,0.8369832187281998,1.869958986399885
21,1,12,0.099864563172092,1.1079489175540649
22,1,12,0.10200368310834784,1.9028098282921555
23,1,28,0.42450859187506707,1.523644982784682
24,1,16,0.10849590069450794,1.2271239004481396
25,1,12,0.11931858111324996,1.120733834005128
26,1,12,0.1059361638914857,1.23245149033019
27,1,28,0.6942920969705259,1.7656297882186334
28,1,28,0.6375852423808143,1.720199064818929
29,1,28,0.3759889474398431,1.4716821049120257
30,1,28,0.5519440058944788,1.6465783107312115
31,1,28,0.1797345632113696,1.1449678133164611
32,1,12,0.0987197524151937,1.0999406041642268
33,1,12,0.10442887185879646,1.1747979992569644
34,1,28,0.10132372750629134,1.1001987785267433
35,1,28,0.11008939169953419,1.8217398619719127
36,1,1,0.8542015546078248,1.871601008497362
37,1,12,0.6754949233883003,1.7508422946698126
38,1,12,0.6496307596871849,1.7300576159536671
39,1,28,0.1253644542281385,1.1143674876710945
40,1,28,0.6763535291551488,1.719247210508518
41,1,28,0.10260921272848625,1.377003208060187
42,1,28,0.1323407097726919,1.1007505158296955
43,1,28,0.1009316325266348,1.265425087255915
44,1,28,0.1011036025218789,1.1005521292912288
45,1,28,0.1183021682598896,1.113324992103997
46,1,28,0.37918234235298165,1.402343379315501
47,1,28,0.7345364046818295,1.7767580161272676
48,1,28,0.6818836124651206,1.7288342181875898
49,1,28,0.6342751051479839,1.66924065008432
50,1,28,0.11551563078869045,1.1124228403631058
51,1,28,0.8156595082482658,1.8430811154923288
52,1,28,0.1325879729903366,1.0999803081298776
53,1,28,0.21232812047832583,1.2106178376542776
54,1,28,0.8705622079982649,1.8870298493796056
55,1,22,0.7489871591524442,1.791123836400013
56,1,22,0.6842131595354293,1.7373484854232717
57,1,22,0.8478879575935854,1.870396725738999
58,1,22,0.7414049633789629,1.78423195900681
59,1,22,0.6546819042817515,1.7070481622467693
60,1,22,0.6307750251351899,1.67548697176933
61,1,25,0.1296848927958427,1.1220388812509972
62,1,27,0.10200545851907139,1.0988584197923816
63,1,25,0.09903986531651746,1.0988042973693632
64,1,27,0.43317716583939614,1.532597995240693
65,1,25,0.3180311883224066,1.153226412019608
66,1,27,0.1025118680296968,1.84081918434586
67,1,27,0.1017705067914645,1.809226679183862
68,1,24,0.1045778411964002,1.4673592016736112
69,1,25,0.10326475980104666,1.1365673677617307
70,1,27,0.11509894225302915,1.7633737152752706
71,1,27,0.11086350698941974,1.8458045171670057
72,1,25,0.1013763071413729,1.1025420929916971
73,1,27,0.11702065480083657,1.4621234778624608
74,1,25,0.09761112730158895,1.152394966316492
75,1,27,0.11120694344130895,1.2633424741326784
76,1,27,0.1086029188154058,1.8814729161575965
77,1,27,0.1101697372905585,1.847562280007916
78,1,25,0.09809950916260671,1.1539108225607604
79,1,27,0.10054874199441,1.8103613928640296
80,1,27,0.1025688742147575,1.5951613099375963
81,1,27,0.1106093246297016,1.829897447136238
82,1,25,0.8403541984634639,1.2891627732135236
83,1,25,0.1022897864823327,1.1044447845435177
84,1,22,0.740733486356337,1.77261427881019
85,1,22,0.7638700443460071,1.7973706017736386
86,1,22,0.8472614444355973,1.8659039261957595
87,1,22,0.871957115780879,1.8862926292905529
88,1,22,0.8659833432854667,1.880165172035811
